"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000115252"	1556.98719427083	0	0	-2.78908622613073	-3.1551022961022	-2.97209426111647	-31.8302839047497	0.0933714464212955	-1.15839323850263	"IQCE"
"ENSG00000152208"	3648.47999873698	0	0	-5.05676941348069	-5.49408398218795	-5.27542669783432	-47.2869969157493	0.111559838955935	-1.91621909424713	"NMI"
"ENSG00000140873"	1520.915834704	0	0	-1.89879792360697	-2.2754444301786	-2.08712117689278	-21.7215997849845	0.0960832924927619	-1.15306333360544	"RNF208"
"ENSG00000134851"	1070.72702070743	3.12306944254796e-233	1.64156337573927e-229	-2.32946471775451	-2.71676340230329	-2.5231140600289	-25.5369454316879	0.0988006848338708	-0.612287366899995	"KHDRBS1"
"ENSG00000245532"	1016.58519405907	1.78373329051256e-221	7.50059848660531e-218	-2.43487962137696	-2.98642329678624	-2.7106514590816	-19.2651261225993	0.140699917196245	-0.675316141854738	"POLR2G"
"ENSG00000149571"	922.998868970099	3.74405484303244e-201	1.31197921791262e-197	3.14627635548849	2.64807471587336	2.89717553568092	22.7954276152593	0.127092255003861	0.896417575510927	"COMMD5"
"ENSG00000112851"	840.207055328763	3.55923044203584e-183	1.06904028634005e-179	-1.99351006711668	-2.51475259911176	-2.25413133311422	-16.9518638949779	0.132970033672215	-0.306557711064192	"ISLR"
"ENSG00000251562"	719.573148356882	5.58053930644891e-157	1.4666354864761e-153	0.498845034356524	0.421713747608948	0.460279390982736	23.3920907375641	0.019676348660096	-0.45200620354453	"SLC3A2"
"ENSG00000184984"	718.79031621348	8.25402940075789e-157	1.92823297945483e-153	1.09146806954373	0.939901971758815	1.01568502065127	26.2684873359777	0.038664820863499	5.35242902333115	"ZNF33A"
"ENSG00000236383"	637.712498426474	3.33035436063382e-139	7.00207004323261e-136	2.08942691368263	1.83258539908884	1.96100615638574	29.9289734843385	0.0655207945392307	2.03594618775693	"WDR46"
"ENSG00000166682"	593.137806878335	1.59133543041892e-129	3.04162067495979e-126	1.29365667124779	1.11914307343584	1.20639987234182	27.0981783699361	0.0445187749520266	1.89295111346425	"SYAP1"
"ENSG00000135821"	589.305890519154	1.08106497546187e-128	1.89411592575714e-125	-1.30133240229141	-1.60546395572824	-1.45339817900983	-18.7327362377545	0.0775845799583755	-1.14235851632954	"EIF2AK1"
"ENSG00000154262"	540.017589995914	5.45343658136486e-118	8.81988493255355e-115	-0.764827407199521	-0.970969477034082	-0.867898442116801	-16.5036636156077	0.0525872627128981	-0.822934712176814	"LINC02603"
"ENSG00000080822"	537.433793716853	1.98488111741947e-117	2.98086610669602e-114	-1.327116410414	-1.6651614191547	-1.49613891478435	-17.3490411810549	0.0862359716175238	-0.372231365127855	"KPNA1"
"ENSG00000228793"	532.140729122364	2.79968308298553e-116	3.92422245465138e-113	0.817724259156341	0.707319205638603	0.762521732397472	27.0733102391553	0.0281645544688107	0.907926590194111	"RSAD2"
"ENSG00000154027"	491.530239196589	1.8431671186173e-107	2.42203679180805e-104	2.01758224395603	1.68525938721659	1.85142081558631	21.8385106241554	0.0847762389641423	0.91345907595769	"ATP2C2"
"ENSG00000176771"	489.181854207724	5.96362099744928e-107	7.37559596890419e-104	-2.0087511228986	-2.55847079330985	-2.28361095810423	-16.2839187807736	0.14023460979879	-0.601415646096009	"TLE5"
"ENSG00000015592"	430.976700050388	2.59775787248208e-94	3.03432551494088e-91	0.7010431837006	0.598310701691881	0.64967694269624	24.789499569623	0.0262072658185508	0.0874828832309914	"CD109"
"ENSG00000167996"	414.849864189846	8.25080991905917e-91	9.13017255516943e-88	-1.22687576057141	-1.59169002299646	-1.40928289178394	-15.142739724944	0.093064862863533	-0.528962183476748	"ZNF528"
