"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000251562"	245.557929727028	4.76182100025972e-54	5.3022876837892e-50	0.846935306022609	0.654673279536168	0.750804292779389	15.3077484948849	0.0490464353281737	0.417211258483681	"PPA2"
"ENSG00000110436"	153.259098143008	5.25060910720304e-34	2.92327662043529e-30	-1.81041748471853	-2.7505346520505	-2.28047606838451	-9.50871043941022	0.23982580799285	-0.545110991904368	"RSPH9"
"ENSG00000079215"	138.857611041924	7.03805857719587e-31	2.61229274190253e-27	-1.73727364268926	-2.55545338875216	-2.14636351572071	-10.2833031709391	0.208719322975229	-0.458537185840658	"FGGY"
"ENSG00000184313"	137.591678793244	1.32539879723664e-30	3.68957890180749e-27	-2.78954143583619	-4.14046476501833	-3.46500310042726	-10.0542808558477	0.344623298260751	-5.25663203591851	"RFX5"
"ENSG00000164741"	135.66986844759	3.46467407450763e-30	7.71582916392849e-27	4.42932111329546	3.28051731466229	3.85491921397887	13.1536870468212	0.293062193528869	1.81535930680135	"FAM20A"
"ENSG00000239642"	133.875218288472	8.49895866155063e-30	1.57726507827277e-26	-2.19033056007119	-3.29750471734401	-2.7439176387076	-9.71478554314897	0.282442387059393	-5.39771670121387	"IRF8"
"ENSG00000135697"	126.686567630048	3.09286791658445e-28	4.91986917873826e-25	2.66038469242703	1.899085457704	2.27973507506552	11.7383505397762	0.194208988449752	1.6118701443686	"SLC12A1"
"ENSG00000272325"	119.39668177874	8.57471487919077e-28	1.19349312724737e-24	0	0	0	0	0	-8.1369903660145	"SACS"
"ENSG00000204956"	122.586641280581	2.40242073967628e-27	2.97232832625504e-24	-1.78092369876954	-2.77575208882836	-2.27833789379895	-8.97734777391053	0.253782752566026	-4.29308187392545	"HEATR3"
"ENSG00000133083"	112.158769571206	4.41603634503668e-25	4.91725647019835e-22	3.79184741941809	2.68274061065402	3.23729401503605	11.4416026061696	0.282935410398998	-0.265295504598549	"AKNA"
"ENSG00000111783"	111.371641005893	6.54569002691322e-25	6.62602349542533e-22	-2.34104867675274	-3.53107507425274	-2.93606187550274	-9.67134097941972	0.303578162627551	-2.66650396981889	"ELFN2"
"ENSG00000041982"	102.746285368992	4.88570920141652e-23	4.53353099648108e-20	2.17642838917964	1.48359991300044	1.83001415109004	10.3539676865343	0.17674195820898	-0.277164530790163	"DYNC2H1"
"ENSG00000229807"	99.060847432263	3.08468125076083e-22	2.64214813286322e-19	-1.55389280886587	-2.31701411420598	-1.93545346153592	-9.94185079572141	0.194673802382682	-2.74542852487415	"MALRD1"
"ENSG00000065675"	88.6575944563901	5.60077304344243e-20	4.45461484562367e-17	3.31654426929349	2.22797007084799	2.77225717007074	9.98282747649304	0.277697499603445	1.11613778053133	"PRRT3"
"ENSG00000116132"	87.2303031133647	1.14335304193423e-19	8.48749074795844e-17	2.67735241200563	1.79635821749768	2.23685531475166	9.9527463015551	0.224743416966314	0.612927761358322	"SLC9B2"
"ENSG00000157445"	83.5645319702444	7.14812998375547e-19	4.97465171056982e-16	4.29176912985565	2.85916162600235	3.575465377929	9.78325654425487	0.365461097921761	0.698744536508574	"BAX"
"ENSG00000135821"	82.711103845224	1.09524682768849e-18	7.17386672135964e-16	-2.4232571099356	-3.96634817682707	-3.19480264338133	-8.11578558529907	0.393645680329457	-1.17459217279531	"PRDX4"
