"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000158623"	293.727184158166	1.65178062473329e-64	1.83925772564051e-60	7.60680488030793	6.15133745327037	6.87907116678915	18.5270126744605	0.37129271097897	2.31151384641094	"LACTB"
"ENSG00000197584"	228.746994619762	2.12922345860042e-50	1.18544516057578e-46	-4.41840761227862	-5.29451820139101	-4.85646290683481	-21.7289746475827	0.223497599263364	-6.43637854505974	"SLC38A2"
"ENSG00000229807"	199.480696127662	4.82299945413267e-44	1.79013663072558e-40	-2.413459882386	-2.90760514039363	-2.66053251138981	-21.1053240621868	0.126057463777456	-3.56572360850818	"MALRD1"
"ENSG00000198739"	148.558819412086	5.50633012785199e-33	1.5328246493408e-29	-4.16995959903628	-5.30126581293716	-4.73561270598672	-16.4086968398416	0.288598523954306	-3.10240719804148	"CALHM2"
"ENSG00000172878"	142.362637127618	1.21996152212526e-31	2.71685430977295e-28	2.92919575474917	1.86753358296985	2.39836466885951	8.85537508580473	0.270832186678398	1.85244301464742	"MYOCD"
"ENSG00000165246"	126.054391640625	2.99170122358817e-29	5.55209885410904e-26	2.58062064823118	1.46874655739677	2.02468360281398	7.13805092557943	0.283641349702657	2.97713923771831	"SERPING1"
"ENSG00000272325"	118.583457975756	1.29201962274432e-27	2.05523407132257e-24	-1.33488280522781	-1.80565600017526	-1.57026940270153	-13.0749647955795	0.120095202792718	-6.00100270064891	"SACS"
"ENSG00000178852"	123.260730004649	1.71503331916685e-27	2.38711200111536e-24	2.88794678816721	1.66687442235942	2.27741060526331	7.31102085235187	0.311498052501985	2.40007883040206	"SRSF3"
"ENSG00000143473"	114.784181391335	1.18831534683883e-25	1.4702101541167e-22	-3.05108998561732	-4.05264082536286	-3.55186540549009	-13.9014975504648	0.255497663200395	-1.88182069629699	"EDEM1"
"ENSG00000176390"	111.717180884537	5.50709291655351e-25	6.13214796258233e-22	3.62713621857626	2.14494995212201	2.88604308534913	7.6326985793047	0.378108741442411	2.19236359384522	"C19orf53"
"ENSG00000143153"	110.410527366259	1.05842139567594e-24	1.07141111280469e-21	-2.94111628891684	-4.66582576290065	-3.80347102590875	-8.6445471999451	0.439976906628522	-1.07861770108913	"PYGM"
"ENSG00000111640"	109.657184081454	1.54257051597011e-24	1.43137689127726e-21	-1.30241970879315	-1.80473323593796	-1.55357647236556	-12.1237186279775	0.128141205904287	-3.19675605315157	"TEX14"
"ENSG00000251562"	109.171306245982	1.96676312738986e-24	1.68460826334509e-21	0.6840163687638	0.475193739823669	0.579605054293735	10.8800951069225	0.0532710788112578	0.451981089665863	"PPA2"
"ENSG00000183878"	108.754218559281	2.42282194119882e-24	1.92700873680349e-21	2.48945029793275	1.38115215838445	1.9353012281586	6.84494644730326	0.28272911723171	2.96819893022087	"UCKL1"
"ENSG00000144285"	93.5982629850696	4.73582270054287e-21	3.51555905136966e-18	-3.28233268874315	-5.0146252821632	-4.14847898545317	-9.387408839585	0.44191137587246	-1.3191093690583	"P2RY1"
"ENSG00000154096"	92.6838607140999	7.48092611003984e-21	5.20625701470585e-18	-1.12255756573811	-1.58533907530921	-1.35394832052366	-11.4684354939515	0.11805650754365	-3.20426716992026	"RNLS"
"ENSG00000152583"	91.158481664077	1.60393667276064e-20	1.05057852065822e-17	-1.98697621993494	-3.46126937325465	-2.72412279659479	-7.24304058357445	0.376095192173397	-1.12197135866859	"PUS1"
