"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000251562"	1806.89243786442	0	0	1.29371831395759	1.18254469956898	1.23813150676329	43.6559191625762	0.0283606159154626	0.0369980058860567	"SLC3A2"
"ENSG00000110436"	927.597192388701	3.75689414371429e-202	3.94943496857965e-198	-2.64038682337286	-3.16893164112154	-2.9046592322472	-21.5422696104203	0.134832861670582	-0.594501510542069	"PLEKHA7"
"ENSG00000179915"	926.502588686802	6.49410239635065e-202	4.55128342944241e-198	-3.88525958896525	-4.32159043127078	-4.10342501011802	-36.8645278000346	0.111308888343246	-0.375054969312914	"PAK5"
"ENSG00000179399"	899.277083889614	5.30227663460817e-196	2.78700915606592e-192	-3.49906855607495	-4.10921765264603	-3.80414310436049	-24.439873855371	0.155650279737522	-0.471249097213823	"PROS1"
"ENSG00000133083"	874.768907924183	1.1126156745508e-190	4.6785489114861e-187	7.00473833695079	6.28795399189535	6.64634616442307	36.3473315256279	0.182853149248838	1.02853082333831	"GPR132"
"ENSG00000134508"	870.637485394722	8.77954840231172e-190	3.07650008597673e-186	-4.16004490227194	-4.76750746952426	-4.4637761858981	-28.8045421431667	0.154964940625592	-1.48459320777359	"LOC105375342"
"ENSG00000124440"	869.682874998158	1.41502199733725e-189	4.25011964200223e-186	-4.50632812620559	-5.21587713249992	-4.86110262935275	-26.8553292138137	0.181007399564881	-0.679905173477022	"LINC01467"
"ENSG00000157445"	772.221518982904	2.06171081643501e-168	5.41843373944325e-165	-4.78835499561522	-5.44659984356564	-5.11747741959043	-30.4751992068752	0.167919604068985	-1.28727426229513	"NUDT12"
"ENSG00000175161"	640.250922699834	9.36005970538487e-140	2.1866139478413e-136	-2.97301209854414	-3.79526014493556	-3.38413612173985	-16.1332944395558	0.209757154691689	-0.208102753831255	"BNIP1"
"ENSG00000080824"	612.017925378997	1.26472496391376e-133	2.65908423662868e-130	3.50438305953037	2.93617239476725	3.22027772714881	22.2158039503161	0.144951700194674	0.662251865048557	"MIR3667HG"
"ENSG00000184226"	539.485764301044	7.11466980928998e-118	1.35987211582111e-114	-0.93858522724679	-1.19308588264108	-1.06583555494394	-16.4164551788358	0.0649236365801769	-0.139520496590603	"PCDH9"
"ENSG00000135298"	535.063365860995	6.49331346544929e-117	1.13768263009226e-113	-2.24435482580622	-2.96067305648043	-2.60251394114332	-14.2418086696001	0.182734242518931	-0.172737690618737	"BTG4"
"ENSG00000041982"	524.813736562905	1.09180503266744e-114	1.7657846778333e-111	5.18452551248302	4.4238748562282	4.80420018435561	24.7579076108843	0.194043534758883	0.865779648982704	"ATRIP"
"ENSG00000138639"	511.274674193326	9.50856830227199e-112	1.4279832039662e-108	-2.40839174163387	-2.91274270840742	-2.66056722502064	-20.6785206454436	0.128660960911619	-0.980711682196815	"NCKAP1L"
"ENSG00000163288"	460.208466891363	1.16681271201875e-100	1.63548248467962e-97	-3.90473247747831	-5.03866122049831	-4.47169684898831	-15.4584048208464	0.289267536484694	-0.285776664223853	"TAS2R9"
"ENSG00000096060"	442.806745539183	7.0103052906369e-97	9.21197929597755e-94	-2.04004098027689	-2.46519319974213	-2.25261709000951	-20.7692594098713	0.108457198843174	-1.29507944484354	"SCN7A"
"ENSG00000178568"	432.693340611193	1.10112065210198e-94	1.3618271594379e-91	-1.4073658371908	-1.81861634562893	-1.61299109140986	-15.3745922822262	0.10491084398932	-0.158895330765899	"GLIS3"
"ENSG00000079482"	415.563582003626	5.77450455072465e-91	6.74494212105477e-88	-2.25140554867545	-2.92844111557796	-2.5899233321267	-14.995243091621	0.17271315482207	-0.596985058745914	"UBE3B"
"ENSG00000154188"	367.399874034654	1.66008768323033e-80	1.8370180810483e-77	4.8925814949433	4.02754564961851	4.46006357228091	20.2108710700826	0.22067240952163	0.907558331812927	"CILP2"
"ENSG00000156049"	353.593641644411	1.65240423311635e-77	1.73708995006356e-74	-3.65874899829294	-4.59166353463879	-4.12520626646587	-17.3333256071695	0.237988402129042	-1.16538729914693	"LENEP"
"ENSG00000055813"	353.058133221555	2.15973504487817e-77	2.16230615802684e-74	4.14105762164948	3.37067977289106	3.75586869727027	19.1110567085359	0.196524961417966	0.785267681941844	"WFDC2"
"ENSG00000083067"	351.652682093089	4.36104241152708e-77	4.16776894101622e-74	-3.08511431933526	-4.15179069259098	-3.61845250596312	-13.2974476031751	0.272111319708092	-0.288039383717524	"S100A12"
