"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000166532"	1209.51163016537	2.27974677852849e-263	4.79316760185614e-259	-6.72461946073224	-8.13152367161397	-7.4280715661731	-20.6961534860446	0.358904135429011	1.92418666151027	"ATAD5"
"ENSG00000151276"	674.33480621608	3.71584296936808e-147	3.90627992154819e-143	-4.67646333223609	-5.47959272832065	-5.07802803027837	-24.7849278095222	0.204879947980755	0.028066824411849	"FAM172A"
"ENSG00000103257"	629.782914463212	1.75540659575621e-137	1.23024745585914e-133	-8.65285720935827	-10.5096642633133	-9.58126073633577	-20.2271161451122	0.473675268866075	-0.417259377637409	"GTF2H4"
"ENSG00000144218"	593.445619475395	1.36433517476484e-129	7.17128676235767e-126	-7.94586163819207	-9.29947979520707	-8.62267071669957	-24.9702975210489	0.345310754340563	-0.439982918700203	"GGA2"
"ENSG00000110799"	573.407057767916	3.06365222025608e-125	1.28826575861768e-121	-2.55637717216341	-3.17615455522704	-2.86626586369523	-18.1283732400491	0.158106475271335	0	"LINC02873"
"ENSG00000034510"	558.377028230614	5.62301068740146e-122	1.97039666171026e-118	7.12435490571705	6.27739996985842	6.70087743778774	31.0134055233211	0.216059932616997	-0.182349451390824	"DGKH"
"ENSG00000153815"	468.06318923357	2.29810499613722e-102	6.90252250625502e-99	-6.18717198444408	-8.07407035068348	-7.13062116756378	-14.813474775197	0.481351624040665	-0.870104070953692	"MLLT11"
"ENSG00000113448"	445.218512730935	2.09907685443748e-97	5.51663635806851e-94	-7.353649479861	-8.82667515697039	-8.09016231841569	-21.5290568516007	0.375771856405457	0	"HOXD11"
"ENSG00000241684"	432.221106097146	1.39437417266558e-94	3.25741299781043e-91	5.3837115580011	4.58611083258714	4.98491119529412	24.4990910805305	0.203469572809685	-1.06006076514244	"NPR3"
"ENSG00000064999"	401.118664866313	7.91022123424351e-88	1.6631240144997e-84	-6.35674361167856	-8.49983912512185	-7.42829136840021	-13.5870598929509	0.546708039143696	1.68767010197938	"RTP4"
"ENSG00000188559"	369.911913750286	4.72768501823002e-81	9.03632522802601e-78	-6.8058991772094	-8.62460126066189	-7.71525021893565	-16.6290154923262	0.463954613125634	0	"LINC01514"
"ENSG00000153944"	366.789784715838	2.2522170386865e-80	3.94607193653197e-77	-3.60235628450954	-5.21186678279449	-4.40711153365202	-10.7334247164131	0.410589412827793	-1.06875222025234	"UBAC2-AS1"
"ENSG00000167693"	363.384020991056	1.23640979198781e-79	1.99965506742644e-76	-4.41378493977101	-6.59592365138294	-5.50485429557697	-9.88875372776049	0.556668038676513	-0.791446672117511	"LCNL1"
"ENSG00000112541"	362.90863677951	1.56816156696264e-79	2.3550426389564e-76	-6.56319417871562	-8.6437847832156	-7.60348948096561	-14.3253223457704	0.53076290931122	0.452415652378134	"TLNRD1"
"ENSG00000186260"	354.035680882123	1.32473404624982e-77	1.85683555482683e-74	-1.34674396706259	-1.79745025964927	-1.57209711335593	-13.6730006794145	0.114976095047622	-0.370720196865039	"PJA2"
"ENSG00000077238"	350.162171460954	9.18862613977909e-77	1.20744290368035e-73	-4.33645183335157	-5.88697237552039	-5.11171210443598	-12.9231072424465	0.395540954634902	-0.355429420602276	"TMEM273"
"ENSG00000155850"	345.656369261436	8.74325404581173e-76	1.0813348018423e-72	-1.90840580131821	-2.98118806480903	-2.44479693306362	-8.9332460115933	0.273668944768065	0.345224363936522	"EIF5A"
