"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000251562"	545.733726416548	3.1291545555488e-119	3.48431359760359e-115	0.692237320160746	0.562351993597573	0.62729465687916	18.9316987177851	0.0331340118783605	0.231691721235163	"PPA2"
"ENSG00000151914"	179.077122976993	1.29986074340437e-39	7.23697468890385e-36	1.82449323427628	1.23478791882141	1.52964057654885	10.1679274741292	0.150435029452774	0.0747249367598364	"WNT5B"
"ENSG00000178568"	160.851837587055	1.17887366478573e-35	4.37558608579637e-32	-2.23179043955493	-3.00693235014254	-2.61936139484873	-13.2462299516389	0.197740283313166	0.178037448614259	"FRMD4B"
"ENSG00000184226"	109.292339721965	1.85127089013172e-24	5.15347534040417e-21	-0.444775673176496	-0.754926688410182	-0.599851180793339	-7.58138231179374	0.0791201569473689	0.122197728096959	"OTUD6B"
"ENSG00000158865"	104.518589096591	2.01408015128469e-23	4.48535649691101e-20	3.02357133382962	1.96920266504595	2.49638699943779	9.28105842905302	0.268971599179509	-0.694029758803308	"LEMD3"
"ENSG00000245532"	101.292777289182	1.01053854465761e-22	1.87539111579374e-19	3.0477948484625	1.8248650367543	2.4363299426084	7.80930989865899	0.311971890741887	0.143433460754628	"ERLIN2"
"ENSG00000168702"	99.676558756757	2.26730673670256e-22	3.606637216169e-19	-2.17227063146902	-3.16826851436362	-2.67026957291632	-10.5093239289204	0.254081092575154	-0.138589778307213	"SMAD6"
"ENSG00000188580"	93.3741252904183	5.29744329854128e-21	7.37337889115715e-18	-1.4322936787483	-2.4302504144835	-1.9312720466159	-7.58594740668296	0.254580799932449	-0.0903312890790637	"RGS10"
"ENSG00000157827"	87.5436551208695	9.77545155262228e-20	1.2094405893161e-16	2.59350714946038	1.65211820680456	2.12281267813247	8.8393568408118	0.240150240473424	-0.0270960312349773	"HEATR1"
"ENSG00000139915"	84.079457728747	5.52557824973813e-19	6.15273138108341e-16	-2.10171567448714	-3.00155137123434	-2.55163352286074	-11.1156066038068	0.229549922639591	0.404510727268536	"DNAJA4"
"ENSG00000185053"	83.241332876054	8.40183663404695e-19	8.50495008364661e-16	-1.84875812255886	-2.50190149359695	-2.1753298080779	-13.0555350245771	0.166618206897474	-0.862475571275653	"NPTX1"
"ENSG00000140873"	76.1081806895272	2.97384651016207e-17	2.75948174088789e-14	-1.31628798293087	-1.80212412226281	-1.55920605259684	-12.5803227062067	0.123937790645901	-1.23960051035148	"STAB1"
