"gene_id"	"lambda"	"p.value"	"p.adjusted"	"ci.hi"	"ci.lo"	"logFC"	"z"	"SE"	"logFC.CPM"	"SYMBOL"
"ENSG00000248550"	292.080091464567	3.76369135566852e-64	6.97901288081614e-60	-7.29883597758146	-8.67390546391875	-7.98637072075011	-22.7668479816967	0.350783032228899	-0.882225397748543	"POU3F2"
"ENSG00000188039"	240.370591600035	6.37073042023043e-53	5.90662270911665e-49	-2.33164077919946	-3.45941937227141	-2.89553007573544	-10.0642709472531	0.28769862068162	-0.964979457924749	"CXXC4-AS1"
"ENSG00000245532"	237.676353326446	2.45039239380139e-52	1.51458753860864e-48	-6.99113528358101	-8.44406986079872	-7.71760257218987	-20.8216162319596	0.370646575820844	-1.1722956263738	"BPIFB6"
"ENSG00000164707"	229.793816387353	1.26155672705359e-50	5.84826159743866e-47	-4.47971382449632	-5.60160666111306	-5.04066024280469	-17.6122214381785	0.286197152198148	-1.01768653845969	"DYNC1LI1"
"ENSG00000090487"	205.437222209065	2.45399689301902e-45	9.10089287745034e-42	-0.291493246901173	-1.50081778372459	-0.896155515312882	-2.90481583905322	0.308501157352913	-0.195420434963036	"EYS"
"ENSG00000112297"	184.025784491533	1.09473406854308e-40	3.3832756388324e-37	-2.83454976910035	-4.52510086468099	-3.67982531689067	-8.53251358016744	0.4312630345869	0.0162500021567111	"SLCO2B1"
"ENSG00000092820"	178.494584005097	1.73937634092173e-39	4.60760792710166e-36	-1.59503515924919	-2.7071207961341	-2.15107797769164	-7.58221349935337	0.283695315531864	-0.885356580736682	"FBN2"
"ENSG00000118271"	172.364438686123	3.72853050936041e-38	8.64226765438377e-35	-7.34885835740739	-9.69085569036434	-8.51985702388586	-14.2601468287443	0.597448299223713	-2.55238382993312	"ITGB2-AS1"
"ENSG00000105877"	161.945683893099	6.82246880511594e-36	1.40565598948072e-32	-4.73450066285273	-6.47631773791413	-5.60540920038343	-12.6148724899527	0.444341090576889	-0.852231155596327	"GTF2A2"
"ENSG00000153944"	147.608067372646	8.85758702290952e-33	1.64246236165811e-29	-2.94827228603163	-4.0863782465336	-3.51732526628261	-12.1145676818811	0.290333153189277	-0.0388974791163049	"DDX3X"
"ENSG00000198728"	143.227215714129	7.91781369213604e-32	1.33472744812071e-28	-0.148672973882089	-1.05834773720894	-0.603510355545515	-2.60061861415224	0.232059888603789	-0.253042028200871	"MACROD2"
"ENSG00000148482"	136.444728433321	2.35181782848469e-30	3.63414649946597e-27	-3.13140685197431	-5.46013285351971	-4.29576985274701	-7.23103893860389	0.594062755496276	-0.906036002632387	"YWHAG"
"ENSG00000165246"	129.374914855885	8.06481093690054e-29	1.15035222463805e-25	-3.42619465999525	-7.8284890154868	-5.62734183774102	-5.01074505247904	1.12303427436009	-0.179760149692139	"HCCAT5"
